,Word,Count
735,lmaoaoaoao,33
736,wash,32
737,Good,32
738,pay,32
739,+,32
740,guitar,32
741,eh,32
742,gotta,32
743,hours,32
744,amazing,32
745,hang,32
746,zzzz,32
747,main,32
748,videos,32
749,waiting,32
750,idea,32
751,under,32
752,slept,31
753,gracemount,31
754,woke,31
755,😔😔😔😔,31
756,"well,",31
757,you'll,31
758,post,31
759,traps,31
760,xddddd,31
761,nnn,31
762,n5,31
763,:333,31
764,dance,31
765,drink,31
766,liked,31
767,Edinburgh,31
768,:))),31
769,fake,31
770,turn,31
771,suc,31
772,white,31
773,bus,31
774,hurts,30
775,far,30
776,characters,30
777,Chinese,30
778,x,30
779,😐😐😐,30
780,jp,30
781,means,30
782,barely,30
783,break,30
784,istg,30
785,record,30
786,fall,30
787,message,30
788,plays,30
789,y,30
790,couldn't,30
791,"that,",30
792,finish,30
793,😐,30
794,holee,30
795,scared,29
796,paper,29
797,en,29
798,rest,29
799,lying,29
800,U,29
801,hit,29
802,7u7,29
803,shouldn't,29
804,🥺🥺,29
805,daily,29
806,salty,29
807,walk,29
808,morning,29
809,clapped,29
810,lie,29
811,"leon,",29
812,early,29
813,👉👈,29
814,isla,29
815,black,29
816,college,29
817,shut,29
818,😐😐😐😐,29
819,place,29
820,needs,28
821,ice,28
822,uwu,28
823,After,28
824,obviously,28
825,ya,28
826,'o,28
827,tetris,28
828,"like,,,",28
829,set,28
830,scene,28
831,ah,28
832,mine,28
833,"anything,",28
834,using,28
835,tryna,28
836,list,28
837,test,28
838,lunch,28
839,steady,28
840,😃😃😃😃,28
841,imma,28
842,second,28
843,spoke,28
844,hand,28
845,WHAT,28
846,glasses,28
847,among,28
848,case,27
849,nop,27
850,character,27
851,amount,27
852,less,27
853,>:(((,27
854,!!!!,27
855,questions,27
856,event,27
857,patch,27
858,sending,27
859,LMAo,27
860,double,27
861,lmaoaoaoaoa,27
862,taking,27
863,funnee,27
864,whats,27
865,confused,27
866,kind,27
867,waifus,27
868,okakoro,27
869,sucks,27
870,step,26
871,looked,26
872,dreams,26
873,>:((,26
874,convo,26
875,?,26
876,works,26
877,job,26
878,finally,26
879,pink,26
880,pfp,26
881,email,26
