0,0,0
Leon,08/07/2020,how is it
Leon,08/07/2020,also wanna watch
Leon,08/07/2020,re
Leon,08/07/2020,0
Leon,08/07/2020,rn
Leon,08/07/2020,o ic
Leon,08/07/2020,ye
Leon,08/07/2020,
Leon,08/07/2020,the preview is lowkey a spoiler
Leon,08/07/2020,why not watch it together :(
Leon,08/07/2020,well okay tho xdd
Leon,08/07/2020,o
Leon,08/07/2020,yea a bit
Leon,08/07/2020,lets watch it later
Leon,08/07/2020,yeep
Leon,08/07/2020,o
Leon,08/07/2020,ic
Leon,08/07/2020,do u wanna wait until the season is over then
Leon,08/07/2020,cos i'm perfectly fine with watching it twice
Leon,08/07/2020,bruh
Leon,08/07/2020,lmaooo
Leon,08/07/2020,yea kaochisa is a canon ship
Leon,08/07/2020,o
Leon,08/07/2020,rezero is pretty good
Leon,08/07/2020,I can't say anything about it tho
Leon,08/07/2020,cos it would be a spoiler
Leon,08/07/2020,there's a lot of pain and suffering though
Leon,08/07/2020,yes
Leon,08/07/2020,xdd
Leon,08/07/2020,what is unnie
Leon,08/07/2020,o
Leon,08/07/2020,lol
Leon,08/07/2020,oka
Leon,08/07/2020,stan noona
Leon,08/07/2020,lmao ur actually gay xddd
Leon,08/07/2020,o
Leon,08/07/2020,ye its ok
Leon,08/07/2020,u should make a
Leon,08/07/2020,bandori tier list
Leon,08/07/2020,lmao
Leon,08/07/2020,xddddd
Leon,08/07/2020,na its kinda cute lol
Leon,08/07/2020,u should actually make a tier list tho
Leon,08/07/2020,yea tru xdd
Leon,08/07/2020,xddd
Leon,08/07/2020,should i make template for u
Leon,08/07/2020,lol
Leon,08/07/2020,ok xdd
Leon,08/07/2020,xddd
Leon,08/07/2020,
Leon,08/07/2020,no i'm just taking screenshot of it lol
Leon,08/07/2020,how do u feel about this
Leon,08/07/2020,
Leon,08/07/2020,lmao
Leon,08/07/2020,what post
Leon,08/07/2020,o
Leon,08/07/2020,raisins
Leon,08/07/2020,are
Leon,08/07/2020,dry
Leon,08/07/2020,grapes
Leon,08/07/2020,xddddd
Leon,08/07/2020,it's not even funny idk why ur laughing lmaoaoao
Leon,08/07/2020,o
Leon,08/07/2020,frying pan rights :(
